airport,year,peak_month,peak_mean_ugm3,peak_pct_anom,peak_zscore
OEJN,2020,3,308.04382620430107,30.221396370366218,1.0199367329821891
OEJN,2021,4,239.86417090416666,24.208338048750864,1.5820654408140125
OEJN,2022,3,307.15445450268817,29.845426410820554,1.0072481871738144
OEJN,2023,9,204.3722917458333,5.327896998934342,0.42104126100643763
OEJN,2024,8,195.41154780779567,8.081132605633012,0.5473176211226838
OERK,2020,4,359.2351284097222,15.759920902384234,0.8717149687954335
OERK,2021,3,401.91852319444445,17.41682438789575,0.993764373010484
OERK,2022,5,482.75114287768815,38.88849292762243,1.5064187253690908
OERK,2023,6,365.66109147083336,7.423936950643966,1.0079297949309907
OERK,2024,5,370.011411748656,6.453041286353341,0.24997065963535242
OMAA,2020,3,391.8887336357527,35.38404148510807,1.1528943735522508
OMAA,2021,3,299.2878263375,3.3936217582737815,0.11057209032283581
OMAA,2022,7,437.6642629032258,35.188911854788564,1.4016053064364375
OMAA,2023,2,306.42696569345236,44.965790020855465,1.5105355986796782
OMAA,2024,8,395.5183573454301,27.713509912732402,1.1670778344119008
OMDB,2020,3,263.85888469744623,12.827804880770085,0.5795269016846558
OMDB,2021,3,272.71796954999996,16.616008178575477,0.750668086052044
OMDB,2022,5,404.9368305,74.21752310053536,1.744323328057518
OMDB,2023,7,305.0413298305556,1.9564163494428215,0.1293208647773733
OMDB,2024,7,302.53455207258065,1.1185558636863977,0.07393753974450432
OMSJ,2020,3,263.85888469744623,12.827804880770085,0.5795269016846558
OMSJ,2021,3,272.71796954999996,16.616008178575477,0.750668086052044
OMSJ,2022,5,404.9368305,74.21752310053536,1.744323328057518
OMSJ,2023,7,305.0413298305556,1.9564163494428215,0.1293208647773733
OMSJ,2024,7,302.53455207258065,1.1185558636863977,0.07393753974450432
